SMILES,HOMO,LUMO,S1,S2
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5cccc(N(c6ccccc6)c6ccccc6)c5c4N(c4ccc5c(c4)oc4ccccc45)c4cccc2c43)c1,-4.992150783538818,-1.7967920303344727,2.196254014968872,2.616690158843994
c1ccc(N(c2ccccc2)c2cc3c4c(c2)B2c5cc(N(c6ccccc6)c6ccccc6)cc6c5N(CCC6)c5cccc(c52)N4CCC3)cc1,-4.780129909515381,-1.573583960533142,2.4761645793914795,2.8528966903686523
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6ccc7c(c6)oc6ccccc67)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3ccc4ccc5cccc6ccc3c4c56)c3sc4ccccc4c32)c1,-4.766092777252197,-2.223987340927124,2.017251968383789,2.3323006629943848
CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc3c(cc2N(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)N(c2ccc(C(C)(C)C)cc2)c2cccc4c2B3c2cc(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)c(N(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)cc2N4c2ccc(C(C)(C)C)cc2)cc1,-4.514214992523193,-1.619297742843628,2.4126272201538086,2.577451705932617
Cc1ccc2c(c1)B1c3sc4ccc(N(c5ccccc5)c5ccccc5)cc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1cccc2c1oc1ccccc12,-4.919452667236328,-1.5394361019134521,2.5231072902679443,2.885406494140625
Cc1ccc2c(c1)B1c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1cccc2oc3ccccc3c12,-4.844675064086914,-1.4833974838256836,2.5998294353485107,2.951357364654541
Cc1ccc2c(c1)B1c3sc4ccc(N(c5ccccc5)c5ccccc5)cc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1ccc(C(C)(C)C)cc1,-4.890367031097412,-1.4806009531021118,2.6169705390930176,2.980694532394409
CC(C)(C)c1cccc(N2c3cccc4c3B(c3cc5nc(-c6cccc7ccccc67)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3ccccc3F)c3sc4ccccc4c32)c1,-4.850732326507568,-1.7612873315811157,2.222071886062622,2.8003852367401123
Cc1ccc2sc3c(c2c1)N(c1cccc(C(C)(C)C)c1)c1cc(N(c2ccccc2)c2ccccc2)cc2c1B3c1ccc(N(c3ccccc3)c3ccccc3)cc1N2c1cccc2ccccc12,-4.857010841369629,-1.5136642456054688,2.4521265029907227,2.878109931945801
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)cc4c3B(c3cc(C(C)(C)C)ccc3N4c3ccc4oc5ccccc5c4c3)c3sc4cccc(N(c5ccccc5)c5ccccc5)c4c32)c1,-4.984032154083252,-1.7684855461120605,2.259690523147583,2.628983497619629
CC(C)(C)c1cccc(N2c3cc(-n4c5ccccc5c5ccccc54)cc4c3B(c3cc5nc(-c6ccc7oc8ccccc8c7c6)n(-c6cccc(C(C)(C)C)c6)c5cc3N4c3cccc4c5ccccc5c5ccccc5c34)c3sc4ccccc4c32)c1,-4.869465351104736,-1.8673793077468872,2.445974111557007,2.643617868423462
CC(C)(C)c1ccc(N(c2ccc(C(C)(C)C)cc2)c2cc3c(cc2N(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)N(c2ccc(C(C)(C)C)cc2)c2cccc4c2B3c2cc(C(C)(C)C)ccc2N4c2ccc(C(C)(C)C)cc2)cc1,-4.636573314666748,-1.5180782079696655,2.5295026302337646,2.916729688644409
Cc1ccc2c(c1)B1c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1cccc2ccccc12,-4.8082427978515625,-1.5564543008804321,2.3458359241485596,2.8266496658325195
CC(C)(C)c1cccc(N2c3cccc4c3B(c3ccc(N(c5ccccc5)c5ccccc5)cc3N4c3ccc4c(c3)oc3ccccc34)c3sc4c(N(c5ccccc5)c5ccccc5)cccc4c32)c1,-4.867587089538574,-1.5604370832443237,2.4429986476898193,2.8841042518615723
Cc1ccc2c(c1)B1c3sc4cc(N(c5ccccc5)c5ccccc5)ccc4c3N(c3cccc(C(C)(C)C)c3)c3cc(N(c4ccccc4)c4ccccc4)cc(c31)N2c1ccc2c(c1)oc1ccccc12,-4.820309162139893,-1.5239800214767456,2.439758539199829,2.8636066913604736
CC(C)(C)c1cccc(N2c3cc(N(c4ccccc4)c4ccccc4)ccc3B3c4sc5ccc(N(c6ccccc6)c6ccccc6)cc5c4N(c4ccc5ccccc5c4)c4cccc2c43)c1,-4.872193336486816,-1.6020680665969849,2.3600518703460693,2.8024842739105225
